OMN,18.1,18.2,18.2,18.3,18.5,18.5
OSS,40.02622407,38.31866072,37.5143476,36.87620496,36.39978277,36.04110355
PAK,47.2,42.9,40.4,37.9,35.8,33.6
PAN,19.1,16.4,14.9,13.4,12.2,11.1
PER,33,26.8,23.4,20.4,17.9,15.6
PHL,50.6,47.8,46,44.3,42.7,41.6
PLW,43.8,41.5,40.1,38.9,37.5,36.3
PNG,,,,,,
POL,39.2,36.5,35,33.2,32,30.3
PRE,24.14107803,22.6743884,21.9001709,21.14163416,20.4289849,19.73088462
PRI,,,,,,
PRK,40.5,39.6,39.1,38.5,38,37.5
PRT,34.6,34.1,34,33.6,33.6,33.3
PRY,32.9,29.1,26.7,24.6,22.6,20.8
PSE,,,,,,
PSS,51.70204243,50.3634697,49.74386333,48.89269702,48.20562819,47.71405326
PST,37.79783823,35.68102082,34.4074899,33.10740524,31.91977908,30.83153045
PYF,,,,,,
QAT,27.8,27.4,27.1,27,26.8,26.7
ROU,44.8,41.8,39.8,38.2,36.7,35.2
RUS,49,46.8,45.1,43.7,42.2,40.9
RWA,24.6,23.1,22.2,21.3,20.4,19.7
SAS,53.5505418,50.3033411,48.37705016,46.36314252,44.64262077,42.86607597
SAU,30.3,30.4,30.6,30.9,30.9,31.2
SDN,,,,,,
SEN,22.8,21.2,20.2,19.2,18.2,17.4
SGP,27.5,27.7,27.7,27.8,27.9,27.8
SLB,57.2,56.7,56.5,56.1,55.9,55.9
SLE,41.1,38,36,34.3,32.6,31
SLV,28.6,26.9,25.8,24.7,23.9,22.8
SMR,,,,,,
SOM,,,,,,
SRB,46.9,45.1,43.8,42.4,41.1,40
SSA,23.30323404,22.00382418,21.23035653,20.48260364,19.8086601,19.14494272
SSD,,,,,,
SSF,23.38564403,22.08083479,21.30316936,20.55172423,19.87440573,19.20737142
SST,38.2970148,36.68639422,35.84509495,35.13585632,34.5913557,34.18024788
STP,9.2,9.3,9.3,9.4,9.4,9.5
SUR,,,,,,
SVK,41.3,40.5,40.1,39.5,39,38.6
SVN,26.4,25.9,25.8,25.5,25.3,25.1
SWE,39.6,36,33.8,31.8,30.2,28.2
SWZ,18.8,18.9,18.9,19,19.1,19.1
SXM,,,,,,
SYC,39.5,38.1,37.3,36.6,36,35.3
SYR,,,,,,
